,Prices,title,location,time_publication,Type,Model,Marque,Kilometrage,Etat,Annee_Modele,Premiere_main,Nombre_de_portes,Origine,Secteur
30,125 000 DH,dacia Stepway,Tinghir,il y a 1 heure,"Voitures d'occasion, à vendre",Partner,Peugeot,200 000 - 249 999,Très bon,2007.0,Non,,WW au Maroc,
31,PRIX NON SPÉCIFIÉ,Peugeot Partner 1.9L Diesel,Meknès,il y a 1 heure,"Voitures d'occasion, à vendre",Clio,Renault,120 000 - 129 999,Très bon,2017.0,Non,5.0,WW au Maroc,CGI
32,117 000 DH,Renault clio 4,Oujda,il y a 1 heure,"Voitures d'occasion, à vendre",Touran,Volkswagen,110 000 - 119 999,,2018.0,Non,,Dédouanée,
33,240 000 DH,volkswagen touran dédouanée 2022,Fquih Ben Saleh,il y a 1 heure,"Voitures d'occasion, à vendre",Classe CLK,Mercedes-Benz,160 000 - 169 999,,2004.0,Non,3.0,Dédouanée,Yacoub El Mansour
34,PRIX NON SPÉCIFIÉ,MERCEDES CLASSE CLK COMPRESSOR ESSENCE,Rabat,il y a 1 heure,"Voitures d'occasion, à vendre",Serie 1,BMW,150 000 - 159 999,Excellent,2006.0,,5.0,,Yacoub El Mansour
35,PRIX NON SPÉCIFIÉ,BMW serie 118,Rabat,il y a 1 heure,"Voitures d'occasion, à vendre",Range Rover Evoque,Land Rover,65 000 - 69 999,6,2016.0,,5.0,WW au Maroc,Guéliz
36,280 000 DH,Range rover evoque,Marrakech,il y a 1 heure,"Voitures d'occasion, à vendre",Serie 1,BMW,30 000 - 34 999,Très bon,2019.0,,,,Centre ville
37,520 000 DH,Bmw 135 i,Tanger,il y a 1 heure,"Voitures d'occasion, à vendre",205,Peugeot,15 000 - 19 999,Bon,1988.0,,3.0,,
38,26 000 DH,Peugeot,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Accent,Hyundai,95 000 - 99 999,Très bon,2016.0,Non,5.0,WW au Maroc,Toute la ville
39,118 000 DH,Hyundai accent Diesel 2016,Agadir Melloul,il y a 1 heure,"Voitures d'occasion, à vendre",Accent,Hyundai,50 000 - 54 999,Très bon,2021.0,Oui,5.0,WW au Maroc,Anfa
40,167 000 DH,Hyundai accent,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Passat,Volkswagen,200 000 - 249 999,Excellent,2008.0,Non,5.0,Dédouanée,
41,PRIX NON SPÉCIFIÉ,PASSAT,Agadir,il y a 1 heure,"Voitures d'occasion, à vendre",i 10,Hyundai,170 000 - 179 999,Très bon,2017.0,Oui,5.0,Dédouanée,Av Mokawama
42,PRIX NON SPÉCIFIÉ,Hyundai i10 Automatic,Agadir,il y a 1 heure,"Voitures d'occasion, à vendre",Tucson,Hyundai,40 000 - 44 999,6,2021.0,Oui,5.0,WW au Maroc,Californie
43,PRIX NON SPÉCIFIÉ,Hyundai tucson 2021 Diesel,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,75 000 - 79 999,6,2014.0,Oui,5.0,Importée neuve,2 Mars
44,440 000 DH,Range sport autobiographie 80000km certifié,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",CLASSE C COUPE,Mercedes-Benz,80 000 - 84 999,Excellent,2017.0,Non,5.0,Dédouanée,2 Mars
45,405 000 DH,Mercedes classe c coupé 250d 4matic amg line plus,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",CLASSE C COUPE,Mercedes-Benz,130 000 - 139 999,Excellent,2016.0,Non,3.0,Importée neuve,Toute la ville
